Timestamp: 1041351, AX: -6.31, AY: -5.90, AZ: 4.43, GX: 0.17, GY: -0.08, GZ: 0.12, Temp: 35.12
Timestamp: 1041395, AX: -6.13, AY: -5.31, AZ: 4.68, GX: 0.08, GY: -0.07, GZ: 0.05, Temp: 35.12
Timestamp: 1041439, AX: -6.15, AY: -5.92, AZ: 4.88, GX: 0.11, GY: -0.01, GZ: 0.10, Temp: 35.12
Timestamp: 1041483, AX: -6.09, AY: -5.46, AZ: 4.41, GX: 0.02, GY: 0.03, GZ: 0.05, Temp: 35.07
Timestamp: 1041527, AX: -6.07, AY: -5.59, AZ: 4.69, GX: 0.03, GY: 0.06, GZ: -0.05, Temp: 35.17
Timestamp: 1041571, AX: -5.97, AY: -6.03, AZ: 4.31, GX: 0.04, GY: -0.02, GZ: -0.03, Temp: 35.21
Timestamp: 1041615, AX: -6.03, AY: -5.55, AZ: 4.62, GX: 0.10, GY: -0.16, GZ: 0.12, Temp: 35.21
Timestamp: 1041659, AX: -6.10, AY: -5.52, AZ: 4.74, GX: 0.06, GY: 0.00, GZ: 0.00, Temp: 35.17
Timestamp: 1041703, AX: -6.10, AY: -5.80, AZ: 4.60, GX: 0.01, GY: 0.08, GZ: -0.03, Temp: 35.17
Timestamp: 1041747, AX: -6.30, AY: -5.66, AZ: 4.58, GX: 0.08, GY: -0.02, GZ: 0.07, Temp: 35.12
Timestamp: 1041790, AX: -6.11, AY: -5.78, AZ: 4.25, GX: 0.09, GY: 0.03, GZ: 0.01, Temp: 35.12
Timestamp: 1041834, AX: -6.03, AY: -5.61, AZ: 4.87, GX: 0.10, GY: -0.02, GZ: 0.04, Temp: 35.12
Timestamp: 1041878, AX: -6.10, AY: -5.89, AZ: 4.37, GX: 0.04, GY: 0.02, GZ: 0.03, Temp: 35.17
Timestamp: 1041922, AX: -5.99, AY: -5.49, AZ: 4.63, GX: 0.03, GY: 0.10, GZ: 0.03, Temp: 35.17
Timestamp: 1041965, AX: -6.22, AY: -5.76, AZ: 4.48, GX: 0.08, GY: 0.03, GZ: 0.02, Temp: 35.12
Timestamp: 1042008, AX: -6.16, AY: -5.72, AZ: 4.58, GX: -0.03, GY: 0.04, GZ: -0.02, Temp: 35.26
Timestamp: 1042053, AX: -6.10, AY: -5.80, AZ: 4.49, GX: 0.01, GY: -0.03, GZ: 0.05, Temp: 35.07
Timestamp: 1042097, AX: -6.15, AY: -5.88, AZ: 4.65, GX: -0.02, GY: 0.01, GZ: 0.02, Temp: 35.17
Timestamp: 1042141, AX: -6.22, AY: -5.39, AZ: 4.30, GX: 0.07, GY: 0.03, GZ: 0.05, Temp: 35.02
