Timestamp: 144693, AX: 6.11, AY: -1.47, AZ: -7.93, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.06
Timestamp: 144736, AX: 6.15, AY: -1.43, AZ: -7.89, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.15
Timestamp: 144779, AX: 6.10, AY: -1.47, AZ: -7.88, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.01
Timestamp: 144822, AX: 6.09, AY: -1.45, AZ: -7.82, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.20
Timestamp: 144865, AX: 6.12, AY: -1.47, AZ: -7.92, GX: 0.04, GY: -0.00, GZ: 0.01, Temp: 28.15
Timestamp: 144909, AX: 6.14, AY: -1.43, AZ: -7.92, GX: 0.04, GY: -0.00, GZ: 0.01, Temp: 28.15
Timestamp: 144952, AX: 6.02, AY: -1.49, AZ: -7.94, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.11
Timestamp: 144995, AX: 6.11, AY: -1.49, AZ: -7.93, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.01
Timestamp: 145038, AX: 6.12, AY: -1.47, AZ: -7.89, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.15
Timestamp: 145081, AX: 6.13, AY: -1.45, AZ: -7.90, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.15
Timestamp: 145124, AX: 6.12, AY: -1.49, AZ: -7.86, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.15
Timestamp: 145167, AX: 6.13, AY: -1.41, AZ: -7.94, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.11
Timestamp: 145210, AX: 6.15, AY: -1.50, AZ: -7.93, GX: 0.04, GY: -0.00, GZ: 0.01, Temp: 28.15
Timestamp: 145253, AX: 6.13, AY: -1.43, AZ: -7.92, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.06
Timestamp: 145296, AX: 6.12, AY: -1.45, AZ: -7.97, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.11
Timestamp: 145339, AX: 6.13, AY: -1.44, AZ: -7.92, GX: 0.04, GY: -0.00, GZ: 0.01, Temp: 28.11
Timestamp: 145382, AX: 6.11, AY: -1.42, AZ: -7.94, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.15
Timestamp: 145426, AX: 6.11, AY: -1.47, AZ: -7.92, GX: 0.04, GY: -0.00, GZ: 0.01, Temp: 28.15
Timestamp: 145469, AX: 6.09, AY: -1.48, AZ: -7.97, GX: 0.04, GY: -0.00, GZ: 0.01, Temp: 28.11
Timestamp: 145512, AX: 6.09, AY: -1.47, AZ: -7.97, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.11
Timestamp: 145555, AX: 6.09, AY: -1.47, AZ: -7.91, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.15
Timestamp: 145598, AX: 6.17, AY: -1.42, AZ: -7.95, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.15
Timestamp: 145641, AX: 6.07, AY: -1.46, AZ: -7.95, GX: 0.04, GY: -0.00, GZ: 0.01, Temp: 28.20
Timestamp: 145684, AX: 6.14, AY: -1.51, AZ: -7.95, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.20
Timestamp: 145729, AX: 6.10, AY: -1.46, AZ: -7.92, GX: 0.04, GY: -0.00, GZ: 0.01, Temp: 28.06
Timestamp: 145777, AX: 6.10, AY: -1.48, AZ: -7.94, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.15
Timestamp: 145821, AX: 6.13, AY: -1.45, AZ: -7.85, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.06
Timestamp: 145864, AX: 6.14, AY: -1.45, AZ: -7.85, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.11
Timestamp: 145907, AX: 6.08, AY: -1.47, AZ: -7.94, GX: 0.04, GY: -0.00, GZ: 0.01, Temp: 28.06
Timestamp: 145950, AX: 6.07, AY: -1.43, AZ: -7.98, GX: 0.04, GY: -0.00, GZ: 0.01, Temp: 28.06
Timestamp: 145993, AX: 6.14, AY: -1.48, AZ: -7.85, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.11
Timestamp: 146036, AX: 6.06, AY: -1.46, AZ: -7.82, GX: 0.04, GY: -0.00, GZ: 0.01, Temp: 28.11
Timestamp: 146079, AX: 6.13, AY: -1.41, AZ: -7.83, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.06
Timestamp: 146122, AX: 6.11, AY: -1.46, AZ: -7.92, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.15
Timestamp: 146165, AX: 6.08, AY: -1.47, AZ: -7.94, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.11
Timestamp: 146208, AX: 6.11, AY: -1.46, AZ: -7.88, GX: 0.04, GY: -0.00, GZ: 0.01, Temp: 28.20
Timestamp: 146251, AX: 6.07, AY: -1.44, AZ: -7.90, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.15
Timestamp: 146294, AX: 6.09, AY: -1.42, AZ: -7.91, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.06
Timestamp: 146337, AX: 6.11, AY: -1.47, AZ: -7.83, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.11
Timestamp: 146380, AX: 6.11, AY: -1.48, AZ: -7.82, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.11
Timestamp: 146423, AX: 6.18, AY: -1.40, AZ: -7.85, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.15
Timestamp: 146466, AX: 6.06, AY: -1.46, AZ: -7.85, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.15
Timestamp: 146509, AX: 6.09, AY: -1.43, AZ: -7.83, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.06
Timestamp: 146553, AX: 6.13, AY: -1.50, AZ: -7.91, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.11
Timestamp: 146596, AX: 6.17, AY: -1.45, AZ: -7.92, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.15
Timestamp: 146639, AX: 6.17, AY: -1.49, AZ: -7.89, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.15
Timestamp: 146682, AX: 6.04, AY: -1.45, AZ: -8.01, GX: 0.04, GY: -0.00, GZ: 0.01, Temp: 28.11
Timestamp: 146725, AX: 6.13, AY: -1.47, AZ: -7.86, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.20
Timestamp: 146769, AX: 6.08, AY: -1.41, AZ: -7.92, GX: 0.04, GY: -0.00, GZ: 0.01, Temp: 28.15
Timestamp: 146812, AX: 6.11, AY: -1.42, AZ: -7.88, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.25
Timestamp: 146855, AX: 6.11, AY: -1.46, AZ: -7.90, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.11
Timestamp: 146898, AX: 6.16, AY: -1.43, AZ: -7.89, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.11
Timestamp: 146941, AX: 6.11, AY: -1.43, AZ: -7.95, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.06
Timestamp: 146984, AX: 6.16, AY: -1.44, AZ: -7.86, GX: 0.04, GY: -0.00, GZ: 0.01, Temp: 28.15
Timestamp: 147027, AX: 6.09, AY: -1.50, AZ: -7.99, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.20
